Feature,Importance
numerical__age,0.33720535
categorical__ever_married_Yes,0.09478235
numerical__avg_glucose_level,0.07834753
categorical__hypertension_1,0.07506295
numerical__bmi,0.05390057
categorical__gender_Male,0.047161855
categorical__work_type_children,0.045265615
categorical__heart_disease_1,0.04456421
categorical__smoking_status_never smoked,0.040868636
categorical__smoking_status_smokes,0.040674478
categorical__work_type_Self-employed,0.040266264
categorical__smoking_status_formerly smoked,0.037962217
categorical__Residence_type_Urban,0.03621536
categorical__work_type_Private,0.027722655
categorical__work_type_Never_worked,0.0
